,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2,CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,active,559.6300000000002,4.824820000000003,3.0,7.0,7.0
3,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,inactive,470.53300000000024,3.3105200000000012,3.0,6.0,5.301029995663981
4,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,525.9720000000001,3.203920000000001,4.0,7.0,7.0
5,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,active,509.97300000000024,3.919620000000001,3.0,6.0,7.0
6,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,inactive,413.7960000000001,3.8401200000000006,4.0,5.0,5.301029995663981
7,CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,active,560.6180000000002,4.219820000000002,3.0,8.0,7.0
8,CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,495.9460000000001,3.5295200000000007,3.0,6.0,6.698970004336019
9,CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,active,497.5590000000004,2.3927199999999997,4.0,7.0,7.3979400086720375
10,CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active,511.9890000000001,4.213520000000002,4.0,6.0,6.698970004336019
12,CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,active,602.6990000000002,4.4144200000000025,4.0,8.0,7.3979400086720375
13,CHEMBL136058,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,active,540.4220000000001,2.8641000000000005,3.0,8.0,8.301029995663981
15,CHEMBL95320,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,inactive,417.46500000000026,3.8817800000000027,1.0,7.0,4.9299621333922445
16,CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,active,485.9470000000004,4.391500000000003,2.0,7.0,8.045757490560675
17,CHEMBL434827,CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,active,526.4390000000001,3.8737000000000013,3.0,7.0,7.853871964321762
19,CHEMBL138940,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,active,513.9610000000004,2.894100000000001,3.0,8.0,7.619788758288394
21,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,inactive,393.4430000000002,3.405100000000002,1.0,7.0,4.732359017654084
22,CHEMBL334801,CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,active,498.3850000000001,3.0935000000000006,3.0,7.0,7.886056647693163
23,CHEMBL99024,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,inactive,470.9320000000004,4.752280000000004,1.0,7.0,4.8326826652518236
24,CHEMBL140561,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,active,498.38100000000014,4.125500000000002,2.0,7.0,6.958607314841775
25,CHEMBL342828,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,active,521.3790000000002,3.428600000000001,3.0,8.0,8.09151498112135
28,CHEMBL125401,CCc1cnc(CSc2cnc(NC(C)=O)s2)o1,inactive,283.378,2.9442000000000013,1.0,6.0,4.6020599913279625
29,CHEMBL300936,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1,inactive,490.65100000000024,3.3449000000000018,4.0,9.0,4.6020599913279625
30,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,inactive,401.8460000000001,3.3046000000000015,3.0,6.0,4.801342913045577
32,CHEMBL15346,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,active,520.6550000000002,4.745600000000003,2.0,8.0,7.022276394711152
34,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,active,581.0690000000002,6.139100000000005,2.0,8.0,8.045757490560675
35,CHEMBL14627,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,active,510.5160000000002,5.789900000000005,2.0,6.0,6.931814138253839
37,CHEMBL514436,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,active,573.0900000000001,5.5381000000000045,2.0,8.0,8.0
41,CHEMBL460732,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1,active,554.6940000000002,3.9994000000000023,2.0,9.0,6.8326826652518236
43,CHEMBL493428,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,active,562.6710000000002,4.703700000000003,2.0,9.0,7.721246399047171
45,CHEMBL160846,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cs1,active,566.1080000000003,6.185800000000005,2.0,9.0,7.853871964321762
46,CHEMBL422347,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,active,531.6630000000002,5.532400000000004,2.0,9.0,7.318758762624412
47,CHEMBL160303,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c3c2)cs1,active,555.6890000000003,5.351400000000004,2.0,10.0,7.552841968657781
49,CHEMBL155761,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,active,584.0980000000002,6.324900000000005,2.0,9.0,7.853871964321762
50,CHEMBL157084,CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cs1,active,477.9740000000001,4.7459000000000024,2.0,8.0,6.698970004336019
